Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
    52,  1.6383e+02,  2.1474622359440107e-01, -8.3039538182869341e-02,  1.9063990332813835e-01, -4.2359624611100115e-03,  2.1587774393687034e-01,  8.1726366988218654e-02,  1.7552949185543271e-01, -6.9483833043294200e-03,  1.2016781175471492e-02
    53,  1.7148e+02,  1.4693450656270240e-01, -1.1414861014522909e-01,  2.0159687544646884e-01,  7.4406730077177718e-03,  1.7431011439487415e-01,  9.1384126302236329e-02,  1.8898834018903354e-01,  5.9231670096276849e-03,  5.6704709044486492e-04
    54,  1.8805e+02,  1.4693450656270240e-01, -1.1414861014522909e-01,  2.0159687544646884e-01,  7.4406730077177718e-03,  1.7431011439487415e-01,  9.1384126302236329e-02,  1.8898834018903354e-01,  5.9231670096276849e-03,  5.6704709044486492e-04
    55,  1.8806e+02,  1.4693460656270241e-01, -1.1414861014522909e-01,  2.0159687544646884e-01,  7.4406730077177718e-03,  1.7431011439487415e-01,  9.1384126302236329e-02,  1.8898834018903354e-01,  5.9231670096276849e-03,  5.6704781823012297e-04
    56,  1.8806e+02,  1.4693450656270240e-01, -1.1414851014522909e-01,  2.0159687544646884e-01,  7.4406730077177718e-03,  1.7431011439487415e-01,  9.1384126302236329e-02,  1.8898834018903354e-01,  5.9231670096276849e-03,  5.6704929968529548e-04
    57,  1.8808e+02,  1.4693450656270240e-01, -1.1414861014522909e-01,  2.0159697544646885e-01,  7.4406730077177718e-03,  1.7431011439487415e-01,  9.1384126302236329e-02,  1.8898834018903354e-01,  5.9231670096276849e-03,  5.6705399639164517e-04
    58,  1.8809e+02,  1.4693450656270240e-01, -1.1414861014522909e-01,  2.0159687544646884e-01,  7.4407730077177721e-03,  1.7431011439487415e-01,  9.1384126302236329e-02,  1.8898834018903354e-01,  5.9231670096276849e-03,  5.6704326432964090e-04
    59,  1.8809e+02,  1.4693450656270240e-01, -1.1414861014522909e-01,  2.0159687544646884e-01,  7.4406730077177718e-03,  1.7431021439487415e-01,  9.1384126302236329e-02,  1.8898834018903354e-01,  5.9231670096276849e-03,  5.6704854567102248e-04
    60,  1.8810e+02,  1.4693450656270240e-01, -1.1414861014522909e-01,  2.0159687544646884e-01,  7.4406730077177718e-03,  1.7431011439487415e-01,  9.1384226302236332e-02,  1.8898834018903354e-01,  5.9231670096276849e-03,  5.6704926656874876e-04
    61,  1.8811e+02,  1.4693450656270240e-01, -1.1414861014522909e-01,  2.0159687544646884e-01,  7.4406730077177718e-03,  1.7431011439487415e-01,  9.1384126302236329e-02,  1.8898844018903355e-01,  5.9231670096276849e-03,  5.6705131258614203e-04
    62,  1.8811e+02,  1.4693450656270240e-01, -1.1414861014522909e-01,  2.0159687544646884e-01,  7.4406730077177718e-03,  1.7431011439487415e-01,  9.1384126302236329e-02,  1.8898834018903354e-01,  5.9232670096276852e-03,  5.6705777742745882e-04
    63,  1.9516e+02,  1.3329042420046500e-01, -1.0613972838542984e-01,  1.3493986135618752e-01,  2.9331998778396637e-02,  1.0932582294417705e-01,  1.1241246930893101e-01,  2.5847737756810224e-01,  2.7119509701155002e-02,  2.2532214115417479e-01
    64,  2.0263e+02,  1.2460059102756313e-01, -1.1542381572763717e-01,  1.9380068515170271e-01,  1.3437326953550457e-02,  1.5818393281698054e-01,  9.3465969452794867e-02,  1.9782409411498755e-01,  8.1841381949276978e-03,  3.1954816986717253e-04
    65,  2.1918e+02,  1.2460059102756313e-01, -1.1542381572763717e-01,  1.9380068515170271e-01,  1.3437326953550457e-02,  1.5818393281698054e-01,  9.3465969452794867e-02,  1.9782409411498755e-01,  8.1841381949276978e-03,  3.1954816986717253e-04
    66,  2.1918e+02,  1.2460069102756313e-01, -1.1542381572763717e-01,  1.9380068515170271e-01,  1.3437326953550457e-02,  1.5818393281698054e-01,  9.3465969452794867e-02,  1.9782409411498755e-01,  8.1841381949276978e-03,  3.1954826297315054e-04
    67,  2.1919e+02,  1.2460059102756313e-01, -1.1542371572763717e-01,  1.9380068515170271e-01,  1.3437326953550457e-02,  1.5818393281698054e-01,  9.3465969452794867e-02,  1.9782409411498755e-01,  8.1841381949276978e-03,  3.1953994132723971e-04
    68,  2.1921e+02,  1.2460059102756313e-01, -1.1542381572763717e-01,  1.9380078515170271e-01,  1.3437326953550457e-02,  1.5818393281698054e-01,  9.3465969452794867e-02,  1.9782409411498755e-01,  8.1841381949276978e-03,  3.1952378392855293e-04
    69,  2.1922e+02,  1.2460059102756313e-01, -1.1542381572763717e-01,  1.9380068515170271e-01,  1.3437426953550456e-02,  1.5818393281698054e-01,  9.3465969452794867e-02,  1.9782409411498755e-01,  8.1841381949276978e-03,  3.1955169944542563e-04
    70,  2.1922e+02,  1.2460059102756313e-01, -1.1542381572763717e-01,  1.9380068515170271e-01,  1.3437326953550457e-02,  1.5818403281698054e-01,  9.3465969452794867e-02,  1.9782409411498755e-01,  8.1841381949276978e-03,  3.1954821420139968e-04
    71,  2.1924e+02,  1.2460059102756313e-01, -1.1542381572763717e-01,  1.9380068515170271e-01,  1.3437326953550457e-02,  1.5818393281698054e-01,  9.3466069452794870e-02,  1.9782409411498755e-01,  8.1841381949276978e-03,  3.1956807216311392e-04
    72,  2.1924e+02,  1.2460059102756313e-01, -1.1542381572763717e-01,  1.9380068515170271e-01,  1.3437326953550457e-02,  1.5818393281698054e-01,  9.3465969452794867e-02,  1.9782419411498756e-01,  8.1841381949276978e-03,  3.1951975923476315e-04
    73,  2.1924e+02,  1.2460059102756313e-01, -1.1542381572763717e-01,  1.9380068515170271e-01,  1.3437326953550457e-02,  1.5818393281698054e-01,  9.3465969452794867e-02,  1.9782409411498755e-01,  8.1842381949276972e-03,  3.1955026942877832e-04
    74,  2.2634e+02,  1.2626652581422601e-01, -1.1163885554911164e-01,  1.5987951159218616e-01,  2.3525498748502467e-02,  1.3286503782816406e-01,  1.0627427465486677e-01,  2.3733366300047332e-01,  2.0156573802138165e-02,  1.6622732927614434e-02
    75,  2.3365e+02,  1.2203821996127182e-01, -1.1473710269563724e-01,  1.8597671711286187e-01,  1.5753821616488792e-02,  1.5120763870674997e-01,  9.6897527404114628e-02,  2.0754219345999905e-01,  1.0955692058259669e-02,  3.2208014708617818e-04
    76,  2.4079e+02,  1.2225718632521562e-01, -1.1554610734172575e-01,  1.9263116332706171e-01,  1.3858643712204945e-02,  1.5646373154061310e-01,  9.4257963977142062e-02,  1.9979177808621748e-01,  8.6857912247071834e-03,  2.7625376044411535e-04
    77,  2.5565e+02,  1.2225718632521562e-01, -1.1554610734172575e-01,  1.9263116332706171e-01,  1.3858643712204945e-02,  1.5646373154061310e-01,  9.4257963977142062e-02,  1.9979177808621748e-01,  8.6857912247071834e-03,  2.7625376044411535e-04
    78,  2.5565e+02,  1.2225728632521563e-01, -1.1554610734172575e-01,  1.9263116332706171e-01,  1.3858643712204945e-02,  1.5646373154061310e-01,  9.4257963977142062e-02,  1.9979177808621748e-01,  8.6857912247071834e-03,  2.7625380316470668e-04
    79,  2.5568e+02,  1.2225718632521562e-01, -1.1554600734172575e-01,  1.9263116332706171e-01,  1.3858643712204945e-02,  1.5646373154061310e-01,  9.4257963977142062e-02,  1.9979177808621748e-01,  8.6857912247071834e-03,  2.7625340466692308e-04
    80,  2.5568e+02,  1.2225718632521562e-01, -1.1554610734172575e-01,  1.9263126332706171e-01,  1.3858643712204945e-02,  1.5646373154061310e-01,  9.4257963977142062e-02,  1.9979177808621748e-01,  8.6857912247071834e-03,  2.7625282518463563e-04
    81,  2.5568e+02,  1.2225718632521562e-01, -1.1554610734172575e-01,  1.9263116332706171e-01,  1.3858743712204944e-02,  1.5646373154061310e-01,  9.4257963977142062e-02,  1.9979177808621748e-01,  8.6857912247071834e-03,  2.7625380097154762e-04
    82,  2.5570e+02,  1.2225718632521562e-01, -1.1554610734172575e-01,  1.9263116332706171e-01,  1.3858643712204945e-02,  1.5646383154061311e-01,  9.4257963977142062e-02,  1.9979177808621748e-01,  8.6857912247071834e-03,  2.7625378937338243e-04
    83,  2.5570e+02,  1.2225718632521562e-01, -1.1554610734172575e-01,  1.9263116332706171e-01,  1.3858643712204945e-02,  1.5646373154061310e-01,  9.4258063977142065e-02,  1.9979177808621748e-01,  8.6857912247071834e-03,  2.7625437089539759e-04
    84,  2.5570e+02,  1.2225718632521562e-01, -1.1554610734172575e-01,  1.9263116332706171e-01,  1.3858643712204945e-02,  1.5646373154061310e-01,  9.4257963977142062e-02,  1.9979187808621748e-01,  8.6857912247071834e-03,  2.7625272820714064e-04
    85,  2.5571e+02,  1.2225718632521562e-01, -1.1554610734172575e-01,  1.9263116332706171e-01,  1.3858643712204945e-02,  1.5646373154061310e-01,  9.4257963977142062e-02,  1.9979177808621748e-01,  8.6858912247071828e-03,  2.7625374597876380e-04
    86,  2.6282e+02,  1.2141164183735398e-01, -1.1516892740915587e-01,  1.8863554614535230e-01,  1.5026222736799157e-02,  1.5306777432312083e-01,  9.6062200810521178e-02,  2.0470332397400323e-01,  1.0082146518464360e-02,  2.7569600563769016e-04
    87,  2.7739e+02,  1.2141164183735398e-01, -1.1516892740915587e-01,  1.8863554614535230e-01,  1.5026222736799157e-02,  1.5306777432312083e-01,  9.6062200810521178e-02,  2.0470332397400323e-01,  1.0082146518464360e-02,  2.7569600563769016e-04
    88,  2.7740e+02,  1.2141174183735398e-01, -1.1516892740915587e-01,  1.8863554614535230e-01,  1.5026222736799157e-02,  1.5306777432312083e-01,  9.6062200810521178e-02,  2.0470332397400323e-01,  1.0082146518464360e-02,  2.7569598396354363e-04
    89,  2.7740e+02,  1.2141164183735398e-01, -1.1516882740915586e-01,  1.8863554614535230e-01,  1.5026222736799157e-02,  1.5306777432312083e-01,  9.6062200810521178e-02,  2.0470332397400323e-01,  1.0082146518464360e-02,  2.7569307656781321e-04
    90,  2.7741e+02,  1.2141164183735398e-01, -1.1516892740915587e-01,  1.8863564614535230e-01,  1.5026222736799157e-02,  1.5306777432312083e-01,  9.6062200810521178e-02,  2.0470332397400323e-01,  1.0082146518464360e-02,  2.7568845488020859e-04
    91,  2.7741e+02,  1.2141164183735398e-01, -1.1516892740915587e-01,  1.8863554614535230e-01,  1.5026322736799156e-02,  1.5306777432312083e-01,  9.6062200810521178e-02,  2.0470332397400323e-01,  1.0082146518464360e-02,  2.7569636000401859e-04
    92,  2.7742e+02,  1.2141164183735398e-01, -1.1516892740915587e-01,  1.8863554614535230e-01,  1.5026222736799157e-02,  1.5306787432312083e-01,  9.6062200810521178e-02,  2.0470332397400323e-01,  1.0082146518464360e-02,  2.7569600729556565e-04
    93,  2.7745e+02,  1.2141164183735398e-01, -1.1516892740915587e-01,  1.8863554614535230e-01,  1.5026222736799157e-02,  1.5306777432312083e-01,  9.6062300810521181e-02,  2.0470332397400323e-01,  1.0082146518464360e-02,  2.7570098749292687e-04
    94,  2.7746e+02,  1.2141164183735398e-01, -1.1516892740915587e-01,  1.8863554614535230e-01,  1.5026222736799157e-02,  1.5306777432312083e-01,  9.6062200810521178e-02,  2.0470342397400323e-01,  1.0082146518464360e-02,  2.7568837733639819e-04
    95,  2.7746e+02,  1.2141164183735398e-01, -1.1516892740915587e-01,  1.8863554614535230e-01,  1.5026222736799157e-02,  1.5306777432312083e-01,  9.6062200810521178e-02,  2.0470332397400323e-01,  1.0082246518464360e-02,  2.7569597365195893e-04
    96,  2.8465e+02,  1.2137762731780392e-01, -1.1512869185846936e-01,  1.8779859858927667e-01,  1.5245635585044789e-02,  1.5215287957618445e-01,  9.6629570244239016e-02,  2.0599155563788851e-01,  1.0429296386253785e-02,  2.7170444770418124e-04
    97,  2.9932e+02,  1.2137762731780392e-01, -1.1512869185846936e-01,  1.8779859858927667e-01,  1.5245635585044789e-02,  1.5215287957618445e-01,  9.6629570244239016e-02,  2.0599155563788851e-01,  1.0429296386253785e-02,  2.7170444770418124e-04
    98,  2.9933e+02,  1.2137772731780393e-01, -1.1512869185846936e-01,  1.8779859858927667e-01,  1.5245635585044789e-02,  1.5215287957618445e-01,  9.6629570244239016e-02,  2.0599155563788851e-01,  1.0429296386253785e-02,  2.7170444687284483e-04
    99,  2.9933e+02,  1.2137762731780392e-01, -1.1512859185846935e-01,  1.8779859858927667e-01,  1.5245635585044789e-02,  1.5215287957618445e-01,  9.6629570244239016e-02,  2.0599155563788851e-01,  1.0429296386253785e-02,  2.7170427777729140e-04
   100,  2.9935e+02,  1.2137762731780392e-01, -1.1512869185846936e-01,  1.8779869858927667e-01,  1.5245635585044789e-02,  1.5215287957618445e-01,  9.6629570244239016e-02,  2.0599155563788851e-01,  1.0429296386253785e-02,  2.7170403584519709e-04
   101,  2.9935e+02,  1.2137762731780392e-01, -1.1512869185846936e-01,  1.8779859858927667e-01,  1.5245735585044788e-02,  1.5215287957618445e-01,  9.6629570244239016e-02,  2.0599155563788851e-01,  1.0429296386253785e-02,  2.7170445548590632e-04
